lags,train_mse_mean,train_mse_std,train_mse_fold_1,train_mse_fold_2,train_mse_fold_3,train_mse_fold_4,train_mse_fold_5,train_cosine_sim_mean,train_cosine_sim_std,train_cosine_sim_fold_1,train_cosine_sim_fold_2,train_cosine_sim_fold_3,train_cosine_sim_fold_4,train_cosine_sim_fold_5,train_pairwise_accuracy_mean,train_pairwise_accuracy_std,train_pairwise_accuracy_fold_1,train_pairwise_accuracy_fold_2,train_pairwise_accuracy_fold_3,train_pairwise_accuracy_fold_4,train_pairwise_accuracy_fold_5,val_mse_mean,val_mse_std,val_mse_fold_1,val_mse_fold_2,val_mse_fold_3,val_mse_fold_4,val_mse_fold_5,val_cosine_sim_mean,val_cosine_sim_std,val_cosine_sim_fold_1,val_cosine_sim_fold_2,val_cosine_sim_fold_3,val_cosine_sim_fold_4,val_cosine_sim_fold_5,val_pairwise_accuracy_mean,val_pairwise_accuracy_std,val_pairwise_accuracy_fold_1,val_pairwise_accuracy_fold_2,val_pairwise_accuracy_fold_3,val_pairwise_accuracy_fold_4,val_pairwise_accuracy_fold_5,test_mse_mean,test_mse_std,test_mse_fold_1,test_mse_fold_2,test_mse_fold_3,test_mse_fold_4,test_mse_fold_5,test_cosine_sim_mean,test_cosine_sim_std,test_cosine_sim_fold_1,test_cosine_sim_fold_2,test_cosine_sim_fold_3,test_cosine_sim_fold_4,test_cosine_sim_fold_5,test_pairwise_accuracy_mean,test_pairwise_accuracy_std,test_pairwise_accuracy_fold_1,test_pairwise_accuracy_fold_2,test_pairwise_accuracy_fold_3,test_pairwise_accuracy_fold_4,test_pairwise_accuracy_fold_5,num_epochs_mean,num_epochs_std,num_epochs_fold_1,num_epochs_fold_2,num_epochs_fold_3,num_epochs_fold_4,num_epochs_fold_5
-1000,39.23983651387323,0.2894273044392578,38.88413871686483,39.10649085290653,39.1337353027973,39.74499350478969,39.32982419200779,0.13104082261471403,0.05228246572483161,0.20047097223013946,0.15561481826391416,0.1296662132150119,0.04028030592448933,0.12917180344001533,0.7707357868091347,0.09441867626797923,0.8878776652296794,0.821069266992746,0.7678808754252404,0.6025167251985097,0.7743344011994981,39.45590644605232,0.054364262533148265,39.48886062159683,39.45694940740412,39.50460722952178,39.47740277377042,39.35171219796845,0.04688736969661532,0.005598860341911754,0.04922410509915966,0.05448273394369718,0.04444014382633296,0.04860321610150012,0.037686649512386684,0.589487600145918,0.022091638459422996,0.5904814104239146,0.6309872739242784,0.5677337691639409,0.5829056555574591,0.5753298916599967,39.56113453489361,0.23354363395627867,39.66165253610322,39.35651149171771,39.973371216745086,39.36628237637606,39.447855053525984,0.03283522179011594,0.00581310184724288,0.029821997226187676,0.034862279976633465,0.02792273298131697,0.028226683762940494,0.043342415003501104,0.5727720580317757,0.010873630862867687,0.5594452420870463,0.5633349436702151,0.5791177731571775,0.5723362510854547,0.589626080158985,3.4,1.624807680927192,6,4,3,1,3
-800,39.098456888100536,0.2996617810981821,39.16779331325256,39.09032750867077,39.51978152560205,39.131216068857725,38.583166024119585,0.15586508976910068,0.07045240464551328,0.1347795773643194,0.16400526156745007,0.04968631189297309,0.16094029418279215,0.2699140038379689,0.8086993197190393,0.10955323978174458,0.7986543049517366,0.8371270341971486,0.616694954559975,0.8356661599935945,0.9553541448927417,39.41769194169478,0.054705521616730354,39.460214441472836,39.44441188465465,39.46119597463897,39.407105532559484,39.31553187514796,0.05457794550298291,0.006110066095789435,0.05410805872331063,0.05596830120140856,0.05239944998174906,0.0646667023979579,0.04574721521048835,0.60740467617006,0.017253450996573622,0.5895242618791985,0.6263847983244694,0.5876099557587595,0.6277492479844526,0.6057551169034207,39.53448711742054,0.21592060657785753,39.57903012362394,39.32202593485514,39.924743999134414,39.35635873043176,39.49027679905747,0.03945037336653155,0.0040253644065675566,0.04698126691139557,0.039625919706216366,0.03591942535995534,0.03860513676155471,0.036120118093535755,0.5911208700953108,0.0093426356752852,0.603392783891071,0.5895649899135936,0.5869379115827156,0.598912494652199,0.5767961704369747,4.4,3.006659275674582,3,4,1,4,10
-600,38.969241545372405,0.23695213502820411,39.31681336078447,38.88291663730267,39.171562234151,38.69222338175036,38.78269211287351,0.17910687368478356,0.051501829231349563,0.1132055165572572,0.19304380220236236,0.12489661125024569,0.24084523535266364,0.22354320306138895,0.8469780579055708,0.07375573686500339,0.7594719221911479,0.8768468554486933,0.7586999154582466,0.9302163763144582,0.9096552201153076,39.36313862656102,0.0602524048080756,39.415170380563445,39.380738229462594,39.37980235706676,39.39460211089163,39.245380054820664,0.0661607689139518,0.003388761991722424,0.0634694519368085,0.06864812563766133,0.07058263149564013,0.06683930675640251,0.06126432874324647,0.6464320439280886,0.009502826351451034,0.6382371954845659,0.6575227876504263,0.6549975357272408,0.6485214865568912,0.6328812142213186,39.44456737402713,0.2003186918265569,39.465920419404,39.257663784605086,39.82000928936583,39.30596785111861,39.373275525642164,0.05837697282320622,0.006558227433748424,0.06848205778409135,0.05277081832967021,0.06122277016666802,0.049885949910138595,0.05952326792546294,0.6352150376999017,0.009020574998933259,0.6337365444862482,0.6264051668571703,0.6444892314347354,0.6247556019913066,0.646688643730048,4.8,2.4819347291981715,2,5,2,8,7
-400,38.89607894740154,0.29350884371916947,38.358952630426465,39.245619547735785,38.98501854336139,38.88507740767961,39.00572660780445,0.19172670781305157,0.054364535751670176,0.286946782131785,0.12690216656198205,0.1563809395758147,0.20531160238477372,0.18309204841090232,0.8623429997680112,0.06535725687943732,0.9667828334975488,0.7724238480489278,0.8208109416912511,0.8875747986675537,0.8641225769347751,39.29328023737127,0.02427876474094257,39.30639636877811,39.32256883563417,39.297298546993375,39.29036331176758,39.24977412368312,0.0794857577448993,0.009207686526761997,0.0835374549990802,0.08097680559325399,0.08468943879459843,0.08677048382885529,0.06145460550870859,0.6835003047278434,0.014784602677217236,0.6859115145423196,0.6921839136065859,0.687316692236698,0.6970918693325736,0.6549975339210394,39.3660215435606,0.21000803662563142,39.4273242372455,39.1205106793028,39.73835719715465,39.28071732954545,39.263198274554625,0.07331933212099653,0.008872651602580139,0.07468327682352427,0.07953300439950192,0.07513340655714273,0.05625908460580942,0.08098788821900432,0.6741772366292549,0.014122608637086545,0.678213565638571,0.6760141560525605,0.6631842400088455,0.6561990696372408,0.6972751518090566,5.0,3.1622776601683795,11,2,3,5,4
-200,38.53895671097274,0.2902649648686118,38.50920049922983,39.02822038316235,38.19326904139568,38.31617496923073,38.6479186618451,0.24587157360978962,0.04727063825343199,0.2403364109317052,0.16513386207450295,0.286037094660641,0.30012730962222384,0.2377231907598751,0.9306001964303636,0.045633888346085436,0.936650763467415,0.8465930426243654,0.9665126290517984,0.9755480891650485,0.9276964578431907,39.19150062329841,0.05131955497139263,39.21483126553622,39.21311638571999,39.22376297459458,39.21667503588127,39.08911745476,0.09777428245341235,0.00399528036538536,0.10061389679145633,0.10112815480114835,0.09797247499227524,0.0990524452292558,0.0901044404529261,0.7250366386139031,0.010137143900952885,0.7308162116643154,0.7351335702520428,0.7157054272564974,0.733382188912594,0.7101457949840662,39.26961097717285,0.23030513785620435,39.27684645219283,39.04823181845925,39.70372171112985,39.11781646266128,39.20143844142105,0.09012409918800449,0.0062829012244965225,0.1006533835421909,0.09034433816982941,0.08224175627710241,0.08551102684754314,0.09186999110335653,0.719615490328182,0.01084075298503589,0.7404080945433993,0.7135060122518828,0.7162145466515513,0.709351560383132,0.7185972378109441,7.4,2.8705400188814645,7,3,10,11,6
0,38.49206670387504,0.4690341209144261,38.86140693585897,38.20956495619312,38.441193610122525,37.810566577714745,39.13760143948584,0.2485434799157467,0.07692542445760533,0.18234429685110898,0.2992434702890435,0.2378853897458499,0.36692902322896975,0.1563152194637613,0.9255445962099685,0.059122918193431455,0.8717515984761346,0.9780719593628165,0.9391597914941532,0.9954065090602207,0.8433331226565174,39.07450286402847,0.04485830946516065,39.0845183170203,39.0689723852909,39.131555730646305,39.09263160011985,38.994836287064985,0.11696838702103407,0.005490187658188235,0.1240600228704738,0.12180183805299527,0.11465981783288898,0.11573007612517386,0.10859018022363837,0.7690534143736868,0.017938979887475913,0.7649478442741163,0.7925219752571799,0.7747433799685854,0.7751710360700433,0.737882836298509,39.15573366338556,0.22815895704670988,39.23362720373905,38.889453598947235,39.55140755393288,39.00076640735973,39.10341355294892,0.11035896439782597,0.004872272063625338,0.11168314248436328,0.11756000103372516,0.10758679755257838,0.1029628658046325,0.11200201511383057,0.758532890587142,0.00819048532789446,0.7701001763343811,0.7605082952614987,0.7572702620968674,0.7601620852947235,0.7446236339482394,7.6,5.4626001134990645,3,10,6,17,2
200,38.670001362279514,0.2111926064018126,38.54806141017639,38.48585588907458,38.463265369847875,38.92636757290241,38.92645656939634,0.22075987492025512,0.025498687542947828,0.23635868420920422,0.2512437696616674,0.23561997849916674,0.1907829729859362,0.1897939692453011,0.921737149572864,0.02161096082694271,0.9349553124191835,0.9453596122486075,0.9366774860116625,0.9002387013631997,0.891454635821667,38.97909966671106,0.041974825695775556,38.9765431953199,39.002911654385656,38.995281450676195,39.02068548491507,38.90007654825846,0.13308978434087654,0.005356438791097704,0.13986678523096172,0.1326305042162086,0.13569383379636388,0.1336656857959249,0.12359211266492352,0.8010182237986363,0.013229759358263989,0.8133349364454096,0.8108504179752234,0.8012992595181321,0.8034986727165453,0.7761078323378707,39.10200648452296,0.2304173227236563,39.18476023818507,38.842031652277164,39.50663780443596,38.961455489649914,39.0151472380667,0.11906010962063165,0.005421461252900988,0.11722696262101333,0.126129759419145,0.11479310287783544,0.11245394318900777,0.12469677999615669,0.7881149992798313,0.017251754305278207,0.795698901017507,0.7848851175019236,0.7912389816659869,0.7580848598118984,0.8106671364018412,4.4,1.2,5,6,5,3,3
400,38.38125386188939,0.17841794609717881,38.23454292533324,38.52963178182386,38.226817730775814,38.65776962594887,38.2575072455652,0.26612458083125734,0.02343904746160091,0.28020627151445016,0.24690127149992383,0.274011840064501,0.2322468611690187,0.297256659908393,0.9587773056374382,0.016480099665996166,0.968560428963494,0.9408601878844586,0.9669134782761643,0.9378592556284875,0.979693177434587,38.99448984319513,0.10194506531947557,39.01842440980853,39.05179110440341,39.067239125569664,39.041914968779594,38.79307960741448,0.13284275154724265,0.006583648909748897,0.13921596019557028,0.1343818653487798,0.12939917064751638,0.1393230933357369,0.12189366820860993,0.8067448442632502,0.015421896390056354,0.8266128771232836,0.8106467615474354,0.7976335684458414,0.8165729696100409,0.7822580445896495,39.11258094094016,0.2429738695138691,39.264840097138375,38.899598208340734,39.491285266298235,38.82579352638938,39.08138760653409,0.11739320378524787,0.010289231372504613,0.10354992098203211,0.1177462496314988,0.11710837212475864,0.11326659027712815,0.13529488591082167,0.7892920931180318,0.017539546968738776,0.7805473876721931,0.770324190457662,0.7916055502313556,0.7823191393505443,0.8216641978784041,7.2,1.469693845669907,8,6,8,5,9
600,38.38975607488573,0.2849225472473838,38.54260859538599,38.494929284164584,37.90388716864832,38.73761584095119,38.26973948527857,0.2667923907950981,0.04065040942288883,0.23846434932394125,0.25209841086077933,0.3298029070047988,0.21759487289128845,0.2960014138946828,0.9523692401414066,0.025261446724047985,0.9348474304700635,0.9447954505989232,0.9874459136392653,0.9195745359991014,0.9751828699996791,39.09145624565356,0.07092510900222361,39.107311711166844,39.138163364294805,39.13714241259026,39.12327598802971,38.95138775218617,0.11615522193411984,0.010969625498983789,0.12611531206604207,0.11952769028192217,0.11709873818538406,0.12295083272637743,0.09508353641087358,0.7704585964029486,0.03155795029518556,0.7859033617106351,0.782868990392396,0.7883675224853285,0.7876954837278887,0.7074576236984946,39.22676438996286,0.24152922074624564,39.37801407322739,38.981004772764265,39.59156984271425,38.95234223568078,39.23089102542762,0.09755093016040822,0.01019505363666693,0.08367954677140171,0.10308659674994873,0.09923591224166255,0.08922122543056805,0.11253136960846005,0.7296798400806659,0.03267612942675639,0.7176604541865262,0.7075594419782812,0.7550708434798501,0.6892106361461409,0.7788978246125308,8.4,3.2619012860600183,6,7,14,5,10
800,38.407875997012425,0.42238324518124454,38.03915621570705,38.59743507621214,38.6758905784371,37.79583484610331,38.93106326860251,0.2666722125152951,0.07260538141057475,0.32487364835345867,0.23819790703734173,0.20344766052727847,0.3772322532442427,0.18960959341415426,0.9407993724665692,0.04331199460663011,0.9859272364488582,0.9339014261039262,0.9031535307156671,0.9947206107611509,0.8862940583032431,39.15874647660689,0.04443630766741883,39.15832658247514,39.19767634073893,39.20189400875207,39.15767658118045,39.078158869887844,0.10052672657325412,0.008924559886934571,0.1072081175040115,0.10204454071142456,0.10128647117226412,0.10850890291233857,0.08358560056623185,0.7348036614331331,0.02964146377869317,0.7580644957947008,0.7460288152550206,0.7377199241609285,0.7549486593766646,0.6772564125783516,39.27630345893629,0.23559715536398418,39.407538211706914,39.068929209853664,39.656123421408914,39.008425857081555,39.24050059463038,0.0857011133353367,0.01065362489409866,0.07937067803559882,0.0870691558176821,0.09173079136984819,0.06953695410806121,0.1007979873454932,0.7055881180546502,0.025050363245667444,0.7018979950384661,0.6783764831947557,0.7116324305534363,0.6860947997281046,0.7499388817584876,10.0,6.099180272790763,14,7,5,20,4
