lags,train_mse_mean,train_mse_std,train_mse_fold_1,train_mse_fold_2,train_mse_fold_3,train_mse_fold_4,train_mse_fold_5,train_r2_mean,train_r2_std,train_r2_fold_1,train_r2_fold_2,train_r2_fold_3,train_r2_fold_4,train_r2_fold_5,train_corr_mean,train_corr_std,train_corr_fold_1,train_corr_fold_2,train_corr_fold_3,train_corr_fold_4,train_corr_fold_5,val_mse_mean,val_mse_std,val_mse_fold_1,val_mse_fold_2,val_mse_fold_3,val_mse_fold_4,val_mse_fold_5,val_r2_mean,val_r2_std,val_r2_fold_1,val_r2_fold_2,val_r2_fold_3,val_r2_fold_4,val_r2_fold_5,val_corr_mean,val_corr_std,val_corr_fold_1,val_corr_fold_2,val_corr_fold_3,val_corr_fold_4,val_corr_fold_5,test_mse_mean,test_mse_std,test_mse_fold_1,test_mse_fold_2,test_mse_fold_3,test_mse_fold_4,test_mse_fold_5,test_r2_mean,test_r2_std,test_r2_fold_1,test_r2_fold_2,test_r2_fold_3,test_r2_fold_4,test_r2_fold_5,test_corr_mean,test_corr_std,test_corr_fold_1,test_corr_fold_2,test_corr_fold_3,test_corr_fold_4,test_corr_fold_5,num_epochs_mean,num_epochs_std,num_epochs_fold_1,num_epochs_fold_2,num_epochs_fold_3,num_epochs_fold_4,num_epochs_fold_5
-800,111.20211483226105,5.768390115871161,102.74691164353314,110.60250300239116,120.36519764170929,113.445118264591,108.8508436090806,-0.1986029610914342,0.0263591706034381,-0.1937140282462625,-0.1771710732403923,-0.2321245943798738,-0.2253437491024241,-0.1646613604882184,-0.0010429121328856,0.0125120723999306,0.0209206434512024,-0.0132461216409009,-0.0131365372155628,-0.0009866373021128,0.0012340920429457,68.42523801703202,13.080219210021976,61.83116502929152,61.915790925946155,62.085063198156526,61.70963553378456,94.58453539798134,-0.3674990676997001,0.2257105278247486,-0.2097584814356084,-0.2770998707988806,-0.2969729398426257,-0.238800611412316,-0.8148634350090697,-0.0102912042449277,0.1287172859766078,0.0393371918737038,-0.084183863145626,0.2209609203498091,-0.110779872539927,-0.1167903977625987,90.3181033184654,19.977220586443575,122.09429295857748,93.60489353380706,78.5981383407325,95.45599418773986,61.83719757147003,-0.3240201774396395,0.2192037187620184,-0.1394188926931013,-0.2077495173404091,-0.2523232050109328,-0.7533175945281982,-0.2672916776255557,-0.0137925632601285,0.1107979814261603,0.0557609047478252,-0.0698319841176271,0.1696338804965642,-0.125768790536217,-0.098756826891188,16.4,11.001818031580054,21,10,36,7,8
-775,109.81641080519732,4.3248213814073155,102.05053181367762,109.18588909822353,115.09716556773466,111.56654876260195,111.18191878374886,-0.1852567345955792,0.0171169966279214,-0.1819708838182337,-0.1675852954387665,-0.1667978150003096,-0.208452732072157,-0.2014769466484294,-0.0008041903030329,0.0070057934308258,0.0084271036679531,-0.0030358049593975,0.0048164015341385,-0.011803789656979,-0.0024248621008797,68.99980498866032,14.493208506892554,61.63369125232362,61.86678090011864,61.68970944588644,61.82311954832914,97.98572379664373,-0.3168453095252054,0.1690445541056401,-0.2149664247245119,-0.2702393782766242,-0.2312399535848383,-0.2152565634041501,-0.6525242276359022,0.061102859497636,0.122393185655866,0.2723017653344166,-0.0230256348320899,0.127707488589773,-0.0320815252948944,-0.039387796309025,90.37497385928506,20.03315590637926,121.95639436286793,93.63216042100338,77.68795100429602,96.50869078385205,62.08967272440592,-0.2853555242220561,0.2084613183387074,-0.13425143036926,-0.2027194907790736,-0.191912689752746,-0.6993102776376825,-0.1985837325715182,0.0629625380717283,0.1297907084571454,0.3006000423379111,-0.0118849144394819,0.0909928076802507,-0.0722126945375317,0.0073174493174934,25.4,15.16047492659778,55,15,24,15,18
-750,110.75011610592112,4.436744678274546,102.8521562912885,111.8544683344224,116.3704932268928,112.46573084662944,110.20773183037252,-0.1908001267208772,0.0134659572341549,-0.2016546340549693,-0.1874958192600923,-0.1716820446883931,-0.2097277399371652,-0.1834403956637663,0.0008219925494802,0.0055777254247979,0.0056442882654236,-0.0079600543224574,0.0013151494097923,0.0075012162861907,-0.0023906368915477,68.50679536451374,13.169398941082594,61.64549845979925,62.25522293960839,61.885434100502415,61.905100203396984,94.84272111926164,-0.3741539371641059,0.2142496461337541,-0.2234501441319783,-0.3065192176584612,-0.2726781180030421,-0.2687400516710783,-0.7993821543559694,-0.0124845826401086,0.1312799491259347,0.2285604204557705,-0.126192422910479,0.0158573701908672,-0.1236310387030243,-0.0570172422336773,89.93174634900008,19.833933690665063,121.58705547399688,93.53917570281448,78.21644692671926,94.54953837812992,61.766515263339926,-0.3348059491107338,0.2456203872588945,-0.1351432852577745,-0.2309630962840297,-0.2302252493406597,-0.8188437474401373,-0.2588543672310678,0.0017801395534709,0.1422422379577167,0.2614363424741385,-0.1051534581781373,0.0113513800560643,-0.1466233013320322,-0.0121102652526787,15.4,13.047605144240071,38,2,18,3,16
-725,110.87944509618424,4.45180823048948,103.60557233025044,111.63099517822266,117.6055502947639,111.20044582591338,110.35466185177074,-0.1992556435921613,0.0057450409673989,-0.2047598663498373,-0.1893043742460363,-0.2035010523655835,-0.20232794565313,-0.1963849793462192,-5.934611654511667e-05,0.0113467738419534,-0.0175138331576497,0.0078672656106338,0.0005549359470879,-0.0064688431785565,0.0152637441957588,68.71522550080951,13.230485480935394,62.6119654973348,61.72476714954042,62.31754463597347,61.75426779295269,95.16758242824622,-0.3536973016303882,0.2150822652659589,-0.1877910107897039,-0.2496959337016992,-0.3121305139441239,-0.2422971453583031,-0.776571904358111,0.0077775425643235,0.0917495095605686,0.1480927240520127,0.0863453661205998,-0.0646644735529103,-0.0540789264088839,-0.0768069773892006,91.00330567276268,21.011306036870188,125.31312892311496,93.80238884373716,78.89944163539954,95.28241836815548,61.71915059340627,-0.3216818238559522,0.2246670467235626,-0.1446710385774311,-0.1870243423863461,-0.2659452181113393,-0.7625915836869624,-0.248176936517682,0.0239004883102321,0.104563909209041,0.1861650647571016,0.1069842887625686,-0.0402080604536949,-0.0879503136619173,-0.0454885378528974,18.8,5.706137047074842,28,23,14,14,15
-700,110.88578201742736,4.1961695461524515,103.89272559670842,109.89844257130342,115.877755131441,114.4747948366053,110.28519195107852,-0.197830774082857,0.0258250806920642,-0.2084582900299745,-0.1695919843281016,-0.1831496838261099,-0.2430231935837689,-0.1849307186463299,-0.0003753542287621,0.0088555453829727,0.0060261229895438,0.0110491065507042,-0.0123665896949686,0.0021751368883997,-0.0087605478774896,68.68785589117752,13.393765944108832,61.72437001947771,62.478545439870736,61.93084298518666,61.83516127603096,95.47035973532158,-0.3739662341904222,0.1940174326028865,-0.2475402229710629,-0.323911236043562,-0.2772183292790463,-0.2625508496635838,-0.7586105329948559,-0.0683545309870839,0.0576648908854535,-0.0933911770810945,-0.1181217215734681,-0.0377276795752869,0.0299205229836699,-0.1224525996892401,89.78020236366675,19.563115062077877,120.69298479849832,93.55230881875022,78.29050693177341,94.65571779953808,61.70949346977368,-0.3326204080330698,0.2396920301727169,-0.1385467554393567,-0.2446952890931514,-0.2343529577840838,-0.805515119903966,-0.239991917944791,-0.0674187551936739,0.0390110908459512,-0.1052724466773501,-0.083714484868228,-0.0223020577788957,-0.0191156267956422,-0.1066891598482534,13.2,5.035871324805668,12,8,15,22,9
-675,112.3413758805219,5.32513719551301,102.35320625305177,113.71591725068934,118.07084738787482,115.03774896509508,112.52915954589844,-0.2055167225529166,0.0149557365598052,-0.1874845574883853,-0.2087553630856906,-0.2008272623314577,-0.2321540446842418,-0.1983623851748074,-0.0064629601970698,0.0083360249918594,0.0061045792734469,-0.0031677268445491,-0.0196984812124248,-0.0078623461020042,-0.0076908260998179,68.59109545255963,13.017335646783415,62.389172972294325,62.18682168659411,61.833872627793696,61.92279715287058,94.6228128232454,-0.3697323481241862,0.2273829867645143,-0.187804337133441,-0.3013581163004825,-0.2706475205588759,-0.2706661245279145,-0.818185642100217,0.0357061427640075,0.1763974996139246,0.252561676887828,-0.0828850718348883,0.2484384583689174,-0.1407170267285485,-0.098867322873271,90.5967270165159,20.91245104045706,124.9659199631005,93.50972254234448,78.16306395279734,94.506561948542,61.83836667579517,-0.3381227001809237,0.2458011389802013,-0.1415441904151649,-0.2297908956544441,-0.2286799069036517,-0.822688993654753,-0.2679095142766049,0.0385093175930689,0.1684031959310798,0.2966879422923452,-0.0509940874436053,0.1731853349003614,-0.1517830337346694,-0.0745495680490868,20.8,14.204224723651764,40,13,35,3,13
-650,110.8672193325267,4.691510610403565,102.45450746872844,111.36896061616784,116.2931527081658,110.30731791327982,113.91215795629164,-0.191423014753005,0.0123333106207555,-0.1907162192989798,-0.1912685559076421,-0.1796292999211479,-0.1813056900220759,-0.2141953086151796,0.0050276764405562,0.00724487407572,0.0176342278338886,0.0016558997812406,-0.0005065208100645,0.0084057961530668,-0.0020510207553503,68.73435005388762,13.89500273765245,61.81151088915373,61.70637786597536,61.768021182010045,61.86167245162161,96.52416788067734,-0.3314158548388565,0.1858645505088959,-0.2597018584870456,-0.2317644702760797,-0.2560798745406301,-0.2082421256784807,-0.7012909452120463,0.0223489520527022,0.0906881870307413,-0.1349779335545016,0.0015691802346784,0.0363831013423725,0.1381589916183433,0.0706114206226183,90.24150530497234,19.693668225950276,120.5263865956089,94.08802700042725,77.97599036233467,96.88314079820064,61.7339817682902,-0.285505874115124,0.1998310400656116,-0.1401142258393137,-0.1753242538686384,-0.2150649229685465,-0.681191881497701,-0.2158340864014207,0.0165097287550707,0.1014373645283896,-0.1687622384633869,0.0283127992152003,0.0186607539081913,0.0682338238466559,0.1361035052686929,19.2,9.173875952943773,3,18,19,27,29
-625,112.04769114774815,1.8497458281129284,110.98204294092515,110.37573307261748,115.49958006914925,110.98128567863913,112.3998139774098,-0.2057915079593658,0.0444401584472482,-0.2904627533519969,-0.1730459399083081,-0.1703627782709458,-0.1865458330687354,-0.2085402351968428,0.0020716346043627,0.010987080854081,-0.0140362994231776,0.0055752234666964,-0.0043422626112313,0.0189920379307723,0.0041694736587541,68.41702432465135,12.91427694266489,62.00781316924513,61.705722775375634,62.198171749449614,61.92976516589784,94.24364876328852,-0.3784548525224652,0.2414379022867977,-0.284221377289086,-0.2422056731424833,-0.3031680374814753,-0.2060689863405729,-0.8566101883587084,-0.0262852994964065,0.0896468102222075,-0.1254438373848403,0.0651943970434857,0.0521020745131464,0.0200224623753966,-0.1433015940292215,90.33001974674691,19.336389086473375,119.90988915426688,93.88790262791149,78.72948000723855,97.10214072779604,62.02068621652168,-0.3096506001656515,0.1896181627468832,-0.1450469629806384,-0.183285049179144,-0.257996776647735,-0.6750616253468028,-0.2868625866739373,-0.0384396033750626,0.0963534747609803,-0.1541737364809306,0.0937483226798736,0.0313894965317255,-0.0226172849192823,-0.1405448146866993,14.2,7.756287771866127,8,21,20,20,2
-600,110.8081242235969,4.634657326871357,103.421998573752,110.07487754821776,117.87085551093608,110.37018351835364,112.30270596672509,-0.1961435821477104,0.0143859047460784,-0.2121495218837962,-0.177845619355931,-0.2115401096203747,-0.1818180213956272,-0.1973646384828231,0.0049555348409921,0.006425759181289,0.009204991605571,-0.0075897770502385,0.0066975379520205,0.0100349742436425,0.0064299474539652,68.29688354960659,12.779022889122764,61.7454218613474,61.739681678905825,62.33197536803129,61.816212001599766,93.85112683814867,-0.3828985061561852,0.2641024319654767,-0.2173607757217005,-0.2215845292074638,-0.3128027790471127,-0.2560812078024211,-0.9066632390022278,-0.0498058758018407,0.0864333775855067,0.0958705483854078,-0.0026178033123805,-0.1054034465923905,-0.0920469657366833,-0.1448317117531571,90.52823789161548,19.837399677512995,122.21235265229878,94.33224224625972,78.9161648332027,94.85959598474336,62.32083374157286,-0.3349307923986201,0.2375765867761451,-0.1353161774183574,-0.167722319301806,-0.2665643744301377,-0.7923583879805448,-0.3126927028622543,-0.036714058384001,0.0980296909042256,0.1262046098652941,0.0217422968136113,-0.0788216582058291,-0.115212039025337,-0.1374835013677448,13.0,7.668115805072325,25,17,10,11,2
-575,111.8132243122774,2.8836846869108457,107.34786471198586,114.54521527009852,114.98004635081573,109.84773427177878,112.34526095670812,-0.2026973887752084,0.0302486353940582,-0.2429445273735944,-0.2242368673577028,-0.1670910337392021,-0.1686238972579731,-0.2105906181475695,-0.0004509237343068,0.006730856514653,-0.0085318309498046,-0.0028660430874237,-0.0014743823920178,0.0119417498533627,-0.0013241120956509,68.74538064253957,13.238634005372685,61.82679270024885,61.89168744338186,62.9895813088668,61.81114263701857,95.2076991231818,-0.3839492159977294,0.1969647745819927,-0.2622456111406025,-0.2725421253003572,-0.3585705819882844,-0.2556090762740687,-0.770778685285334,-0.0592607456006175,0.0568649927227608,-0.1290007105930463,-0.0550951150842337,-0.0768479722666374,-0.0789983498112282,0.0436384197520582,90.0817648603205,19.334976462836256,120.45789320427076,93.56860796610516,79.82691282975047,94.86845083404006,61.68695946743614,-0.3401895947623671,0.2323387131720221,-0.1401541609513132,-0.2110731392575983,-0.3127448245098716,-0.7913316069987782,-0.2456442420942741,-0.0525085006356229,0.0891439241563052,-0.1660679198817856,-0.0322387715271345,-0.0647634295174819,-0.1014872989045423,0.1020149166528299,14.0,6.54217089351845,5,16,12,12,25
