lags,train_mse_mean,train_mse_std,train_mse_fold_1,train_mse_fold_2,train_mse_fold_3,train_mse_fold_4,train_mse_fold_5,train_r2_mean,train_r2_std,train_r2_fold_1,train_r2_fold_2,train_r2_fold_3,train_r2_fold_4,train_r2_fold_5,train_corr_mean,train_corr_std,train_corr_fold_1,train_corr_fold_2,train_corr_fold_3,train_corr_fold_4,train_corr_fold_5,val_mse_mean,val_mse_std,val_mse_fold_1,val_mse_fold_2,val_mse_fold_3,val_mse_fold_4,val_mse_fold_5,val_r2_mean,val_r2_std,val_r2_fold_1,val_r2_fold_2,val_r2_fold_3,val_r2_fold_4,val_r2_fold_5,val_corr_mean,val_corr_std,val_corr_fold_1,val_corr_fold_2,val_corr_fold_3,val_corr_fold_4,val_corr_fold_5,test_mse_mean,test_mse_std,test_mse_fold_1,test_mse_fold_2,test_mse_fold_3,test_mse_fold_4,test_mse_fold_5,test_r2_mean,test_r2_std,test_r2_fold_1,test_r2_fold_2,test_r2_fold_3,test_r2_fold_4,test_r2_fold_5,test_corr_mean,test_corr_std,test_corr_fold_1,test_corr_fold_2,test_corr_fold_3,test_corr_fold_4,test_corr_fold_5,num_epochs_mean,num_epochs_std,num_epochs_fold_1,num_epochs_fold_2,num_epochs_fold_3,num_epochs_fold_4,num_epochs_fold_5
-800,110.92520491880528,3.44511211635251,105.194900041468,110.79781182233025,115.823891471414,112.41326977224912,110.39615148656507,-0.1937333689016454,0.0190384841558002,-0.2252546990618986,-0.1782596139346852,-0.178790951125762,-0.206511234886506,-0.1798503454993752,0.0008098774398882,0.0081571239173497,-0.0103117872659555,0.0136721500883782,-0.0029059253454975,-0.0019311966064646,0.0055261463289806,69.01369764763012,13.987862504735189,61.7087397659034,61.92139920017176,62.51173790714197,61.942257144994905,96.98435421993858,-0.3461504446832757,0.17129688239865,-0.242191401489994,-0.2778922235756589,-0.3276587013612714,-0.2041028267458865,-0.6789070702435678,-0.0413319539862864,0.0412316338408567,-0.0878420084829262,-0.0735997092632348,-0.0613706965456929,0.0056331444147712,0.0105194999456503,90.48432877523858,19.495226671347588,120.4069017109118,93.59861338765998,79.19852899250232,97.37585706878129,61.84174271633751,-0.3009314189877426,0.1876947507758263,-0.1417269936779089,-0.2083750367164611,-0.2799693335566604,-0.6659908838439406,-0.208594847143742,-0.0335101532849907,0.05401161327793,-0.095892187791035,-0.0601476775563991,-0.0409105902746025,-0.0366909213837955,0.0660906105808783,15.4,4.31740662898458,11,12,13,19,22
-775,110.3283966333726,3.111103883802213,106.50202645694507,110.45804797901826,115.79402880949132,110.51614711985869,108.37173280154956,-0.1914878658687367,0.0317135955548386,-0.252590796176125,-0.1889483942705042,-0.1765172860201667,-0.1772563422427457,-0.1621265106341418,-5.204602577792011e-05,0.0094908372201252,0.0183816387088668,-0.0022505152189884,-0.0088945699457647,-0.0034094360692132,-0.0040873476037899,68.46631929163348,13.116991212332156,61.85223445557711,61.82709901374683,61.948837748745035,62.00343503450093,94.69999020559746,-0.3814333010138127,0.2160321928257658,-0.2692370310164334,-0.2638830427537885,-0.280311530096489,-0.2804270752689294,-0.813307825933423,-0.0746217704574136,0.0692085227361789,-0.0978978557773588,-0.0771172709248371,0.0579958408335714,-0.1207774928362484,-0.1353120735821951,89.63748247246994,19.305165011400923,120.03748907122696,93.69029679214744,78.33424200091446,94.29763131392627,61.8277531841345,-0.3370536921317117,0.2560321869448653,-0.1424321417222943,-0.197815878349438,-0.2371911375146163,-0.8424175162064401,-0.2654117868657697,-0.0786160338612828,0.0645421195018378,-0.1144627159003887,-0.0616602753820061,0.0399747049362447,-0.1390052413232951,-0.1179266416369692,9.8,5.878775382679628,10,11,20,4,4
-750,110.59888986924116,3.3062755721991217,105.9371961481431,111.69993676578298,116.05913649166332,109.43107012580424,109.86710981481215,-0.1923106015429777,0.0175084044806629,-0.2256370428730459,-0.1832988514619715,-0.1849181375082801,-0.1923060946604785,-0.1753928812111125,-0.0022130083452536,0.0096417497183388,-0.0199639040230335,0.0010740433845699,-0.0036031013881952,0.0080921594683519,0.0033357608320383,68.34860331217448,12.786647125097025,62.0108448497036,62.11771871332537,61.92373675630804,61.769833179942346,93.92088306159305,-0.4002952960499545,0.2486226168872471,-0.2862207283053481,-0.2949820798740052,-0.2769634974630255,-0.2468297042344746,-0.8964804703729194,-0.0866809709041518,0.0530035662761569,-0.1235593314233579,-0.1083700051097191,0.0050748306604331,-0.0629849756675723,-0.1435653729805428,89.77471175946687,19.10795150643487,119.65761034112228,93.5463702553197,78.28431239881013,95.13498366506477,62.2502821370175,-0.3364563379371376,0.2239818846839371,-0.1462899467401337,-0.2219160073681881,-0.2341279460672746,-0.772618245660213,-0.3073295438498781,-0.0923930778789023,0.0530530999915653,-0.1520207310667294,-0.0884305144120988,0.0044274653937144,-0.1011197523483516,-0.1248218569610463,8.2,5.635601121442148,3,7,17,12,2
-725,111.12288033878104,3.2120600700508177,105.2199484208051,112.66962078318876,114.86660952848548,111.15839486963608,111.6998280917897,-0.1978541994796079,0.0153523892982668,-0.2164198451182421,-0.2011996490113875,-0.1700508555945228,-0.1967866704744451,-0.2048139771994422,0.0012762939802076,0.0082030209726576,-0.0054143178962369,-0.0068064820363788,0.0085422870976959,-0.0034957656609442,0.0135557483969023,68.53734013741477,13.32461689497553,61.715098565084894,61.942676527458325,61.901534147429885,61.94134668718304,95.18604475991768,-0.3521898518528855,0.2141780134384391,-0.2322338359397754,-0.2012279974786859,-0.277443320081945,-0.2731756745723256,-0.7768684311916954,0.0031982554261687,0.1651278843354706,-0.1315026316105535,0.1995000643982437,0.2112651066201036,-0.1332470363234741,-0.1300242259534762,90.1715809136106,19.81802348271777,121.33488477740372,95.06714541451971,78.27375177751507,94.44978936513265,61.73233323348196,-0.3199706104763767,0.2576667804501828,-0.1368978128098605,-0.152153215910259,-0.2347588842375236,-0.8277878907688877,-0.2482552486553526,-0.0134717106378,0.1540545938808027,-0.1525448795914519,0.1923276373152539,0.1556765814720277,-0.1478382455381123,-0.1149796468467173,15.6,12.240914998479484,5,31,30,4,8
-700,109.48313630945545,4.779742545960098,100.57439730027144,110.14956550598144,114.909658611522,110.18093800264246,111.60112212685978,-0.1764436608903548,0.0129013113687797,-0.1687361096634584,-0.1700332136715159,-0.1601470617687,-0.1903063444530262,-0.1929955748950733,0.00261537278057,0.0104524976552722,0.0169109008391387,-0.0058755679902373,0.0059812329209628,0.0084329797154008,-0.012372681582415,68.95650818808036,13.210429851817167,61.883305616546096,61.9677674812183,63.22823327047783,62.34305751532839,95.36017705683122,-0.3748442674938,0.2011047156738989,-0.2721864068717287,-0.2800672514396801,-0.3730662329155102,-0.1891016730091028,-0.7597997732329786,-0.0199876747951891,0.1451266722172891,-0.1410096503075277,-0.1285220351102843,-0.1280479393245881,0.2202811873387218,0.0773600634277324,90.8164475725408,19.415659838830585,119.97865750496848,93.5955144480655,80.13336914464047,98.7156762909471,61.659020474082546,-0.3074724490182441,0.1676600434840816,-0.1431581304784406,-0.2102555339796501,-0.3203824925840947,-0.6228670697463187,-0.2406990183027167,-0.0112992721616919,0.1275272117085072,-0.1628739642047756,-0.0940188412399341,-0.081966253022026,0.1397613990283979,0.1426012986298781,16.4,14.430523206037956,3,6,6,39,28
-675,109.46240045435287,4.449083110940941,101.1968925700468,110.28068340525908,114.4902151893167,111.61492080688475,109.72929030025706,-0.1827908712274888,0.0126905008176931,-0.1764791674473706,-0.1801993208772996,-0.1681794944931479,-0.2061397580539479,-0.1829566152656779,0.0055078405800946,0.0122802783108472,0.0080103363184367,0.0252278255586348,0.0048800071619231,-0.0132055210209835,0.002626554882462,69.50730096248158,15.213107780138523,61.80639126426295,61.9978822072347,62.07922764828331,61.72057382684005,99.9324298657869,-0.3163575523778011,0.1484525527077503,-0.2600733836491902,-0.2011653069864239,-0.2937550314685754,-0.2205117553995366,-0.6062822843852796,0.0517044712831225,0.1105456336887865,-0.1054767617432956,0.0368841490866575,0.1562506422653728,0.1926027922482605,-0.0217384654413827,90.6115204928214,19.307481041635288,120.49968692712616,95.12108387863428,78.55541252671627,96.10401796039784,62.777401171232526,-0.2884388446807861,0.2152643815400211,-0.1400496896944548,-0.1531321239053157,-0.2495556128652472,-0.7122412303037811,-0.1872155666351318,0.0360272737606193,0.0865908048687948,-0.1247615041987349,0.0666420410462275,0.102796742071708,0.1137258081100554,0.0217332817738408,21.4,7.552483035399683,10,20,25,33,19
-650,110.74798113205853,4.083992181675022,103.1806790968951,110.32648126938764,115.1568711897906,112.30659040563246,112.76928369858686,-0.1896242613652173,0.0173589633818109,-0.2018830937497756,-0.1671237794791951,-0.1707579966853646,-0.1982391059398651,-0.2101173309718861,-0.0098610994871534,0.0084985181994838,-0.013469667900726,0.0026383402507396,-0.0028779985602287,-0.0148730982533272,-0.0207230729722248,68.96167247839142,13.884457759724675,61.92231962973611,61.844370089079206,62.49721630832605,61.81831682774059,96.72613953707511,-0.3550718937003821,0.1739234969559412,-0.2751066810206363,-0.265743989693491,-0.3259250281149881,-0.2131132671707555,-0.6954705025020399,-0.0366996638235976,0.0718586543199338,-0.1202100228943061,-0.0963499023570891,-0.0098019928687758,0.0838985154977101,-0.041034916495527,90.26201256199889,19.371603598294374,120.11198900457016,93.65591102733949,79.16060374075906,96.58862147414894,61.79293756317674,-0.3061000775872615,0.1985949299848838,-0.1430432399113973,-0.2015418148877328,-0.2784264892862554,-0.6938654707189191,-0.2136233731320029,-0.0425963782656349,0.0627676190779584,-0.1512922542087995,-0.0716613782814851,-0.0135878232601833,0.0237018715982374,-0.0001423071759442,14.8,5.706137047074843,7,10,16,23,18
-625,110.04229463913862,4.801958742335232,103.36096101648668,110.2322224112118,118.29110623527976,108.44574183295757,109.88144169975727,-0.1838857800119063,0.0159213311707047,-0.1990155861658208,-0.1713353455066681,-0.2040905991021324,-0.162168349238003,-0.1828190200469073,0.0014283606589443,0.0058900449412065,0.0008815452928983,0.0081467330657794,-0.0080648242927375,-0.0009351542544797,0.007113503483261,68.45687183246278,13.256338777702824,61.72687671059057,61.718540158188134,62.09338919321696,61.77743990379467,94.96811319652356,-0.3508371501638178,0.2225989510608028,-0.2294216804337083,-0.2270912977687099,-0.2933380771101567,-0.2118322723790218,-0.7925024231274923,-0.0171959836310666,0.1233686593803461,-0.1015052155738598,-0.0170119268561329,-0.0394284652153912,0.2132408365345837,-0.1412751470445328,90.54858089580873,19.941682779191044,121.64263604816638,94.19468248936168,78.56072312070613,96.57468628465084,61.77017653615851,-0.3006478817839372,0.2002560349010782,-0.1361598780280665,-0.1718062497021859,-0.2490431070327758,-0.690719086872904,-0.2555110872837535,-0.0295326131054919,0.0990241935418689,-0.1247834253508859,0.0133278118854944,-0.0315382037262775,0.1330088974189078,-0.1376781457546984,16.0,9.838699100999074,11,17,16,33,3
-600,445.8667308897131,672.2429666233753,103.5305700189927,111.29115084479837,1790.333305426205,114.64539307986988,109.53323507869943,-3.845060238978443,7.283151867931469,-0.2067936785080853,-0.2014986655291389,-18.411297172658585,-0.2376190602779388,-0.1680926179184633,-0.0019647040299648,0.0030523187519251,-0.0036672543241258,-0.0001623780980213,-0.0027214708690307,-0.00608860541183,0.0028161885531838,68.59178448727258,13.431621103098353,61.86455408732096,61.83879982797723,62.063567546376014,61.73780508208693,95.45419589260167,-0.3417154609111317,0.2101677840961651,-0.208534370388901,-0.2097837485765156,-0.2893926093452855,-0.2429561730016741,-0.7579104032432824,-0.0204393745697177,0.0737461503415395,-0.0141002344015552,0.0499936048709378,-0.1384741367420933,0.0610523453439798,-0.0606684519198576,90.597745172601,20.301832869306747,122.85843675178394,94.71002518503288,78.500947885346,95.2251016047963,61.69421443604586,-0.3088395869522763,0.2315496007014189,-0.1361337795592191,-0.1591388645925019,-0.2453628590232447,-0.7638463283839979,-0.2397161032024183,-0.0121145185239647,0.0562531306721138,-0.0151618720081291,0.074294394708168,-0.1005497263262473,0.0064321457823991,-0.0255875347760146,15.8,7.782030583337488,18,21,1,23,16
-575,110.06516794092516,3.762907082911247,103.01177013621611,111.51276355070226,114.29171600341796,110.49353323543772,111.01605677885168,-0.1829870207169476,0.0166932384935342,-0.2060659860863405,-0.1987073680933784,-0.1616749321713167,-0.1724480716621174,-0.1760387455715852,-0.0054787407091969,0.0076301761806684,-4.057617231463904e-05,-0.0049188117921242,-0.0183291199712959,-0.0080776136241825,0.0039724180139327,68.48350705933152,13.358500747580951,61.72308245876379,61.78899002075195,61.95558188254373,61.749861667030736,95.2000192675674,-0.3544720919508683,0.2097702425421354,-0.2377055255990279,-0.2571839888890584,-0.2788970031236347,-0.2260983230774862,-0.7724756190651342,-0.0603782141758864,0.0508004438729302,-0.1056040696669043,-0.0927656931565715,-0.1065084482624865,0.0050195318272974,-0.0020323916207672,90.18432116257516,19.820753245720447,121.281450606229,93.69962700626306,78.32480965999135,95.91672653064391,61.698992009748494,-0.3093432518473842,0.211813102879902,-0.1365381176011604,-0.1986157998704073,-0.239488987546218,-0.7257041742927149,-0.2463691799264205,-0.0572273497416621,0.0600852459219852,-0.1365838290310644,-0.0730333223922602,-0.0845793126265338,-0.0362869100400099,0.0443466253815578,13.6,5.0039984012787215,10,11,8,18,21
