name	x	y	z
T2bH1	1.888224959	-58.54452133	0.216299295
T2bH2	-1.292352557	-56.82241058	-0.139305055
T2bH3	0.0331441129999999	-56.65570831	-0.505243361
T2bH4	1.624038935	-56.2138443	-1.109809041
T2bH5	4.391442776	-56.32232285	-1.634660363
T2bH6	3.427796841	-54.7830162	-2.484906435
T2bH7	-6.480843544	-66.30612183	14.45149517
T2bH8	-7.942358494	-65.73534393	14.67296696
T2bH9	-7.685625552999999	-66.26377106	18.48751068
T2bH10	-9.997265816	-58.6889534	35.52518463
T2bH11	-13.57832909	-57.95667648	35.11524963
T2bH12	-17.86632538	-53.61098099	37.44571686
T2bH13	-16.83345222	-58.65844727	32.81382369999999
T2bH14	-22.48892784	-49.55416107	38.59957886
T2bH15	-20.77865982	-48.17063522	39.42887878
T2bH16	-23.27631378	-44.6860199	39.91385651
T2aA1	6.547753333999999	-60.57168579	0.514486372
T2aA2	26.86462212	-64.26115417	2.934792995
T2aA3	25.54867935	-56.69598389	-3.890999794
T2aA4	24.984115600000003	-59.40668106	-1.373200178
T2aA5	22.53407288	-59.33179474	-1.635556817
T2aA6	18.61443329	-59.15006638	-1.774261475
T2aA7	1.59410274	-69.02605438	12.14099693
T2aA8	1.655751109	-69.32539368	13.37098217
T2aA9	9.30079937	-46.99795532	38.42671204
T2aA10	7.816348552999999	-49.25304031	38.73278046
T2aA11	5.463047981	-49.66181946	39.11263657
T2aA12	5.033484936	-51.02703857	39.03269577
T2aA13	4.238268852	-56.55624771	37.84589767
T2aA14	4.238268852	-56.55624771	37.84589767
T1cIf1	1.103793621	-10.33107567	22.1668396
T1cIf2	1.208578944	-11.01691246	22.42185593
T1cIf3	-6.624957561	-6.933539391	27.16246796
T1cIf4	-5.076971531	-10.47243309	27.84795189
T1cIf5	-31.01754189	-16.13942909	36.58217239
T1cIf6	-28.82460022	-16.02358437	37.27243042
T1cIf7	-27.89178467	-15.62417221	37.58774185
T1cIf8	-25.54906273	-14.79970551	38.26691437
T1cIf9	-24.32110023	-14.74235725	38.507061
T1cIf10	-21.90765762	-14.47102451	38.78353119
T1cIf11	-21.46942711	-13.15078354	38.79907227
T1cIf12	-20.91500854	-11.31036377	38.71183014
T1bId1	19.70187378	-22.49313736	16.14576912
T1bId2	12.0864296	-26.23305511	24.08851051
T1bId3	11.20839691	-26.37717628	25.23438644
T1bId4	1.214625478	-20.49281502	30.32477379
T1bId5	2.6260013580000003	-22.03639603	30.41001129
T1bId6	-6.491259575	-26.82577324	38.58418655
T1bId7	-5.305699348	-25.93281174	38.0171051
T1bId8	-3.765749454	-25.47531509	37.30883026
T1bId9	-3.323183537	-24.44031525	36.64225388
T1bId10	-3.820345163	-23.92407608	36.62024307
T1aIa1	49.35456085	-45.79224777	7.306219101
T1aIa2	45.02628326	-45.25915527	9.960442543
T1aIa3	45.59547424	-45.02248383	9.736614227
T1aIa5	25.49361229	-44.59436417	25.83815765
T1aIa6	23.74579239	-43.16395569	26.88100433
T1aIa7	19.44275093	-46.73939896	33.44975281
T1aIa8	20.19310951	-46.12417984	32.58518219
T1aIa9	14.24080563	-40.0646019	34.606025700000004
T1aIa10	14.24080563	-40.0646019	34.606025700000004
P2cCc1	-32.27815247	15.7142725	-33.71540833
P2cCc2	-27.66013718	14.4275465	-34.81390381
P2cCc3	-35.41439438	24.57937813	-31.65444756
P2cCc4	-37.90195084	25.86113548	-31.20677948
P2cCc6	-37.24870682	42.23416901	10.34669399
P2cCc7	-37.05821609	40.89677811	11.82057762
P2cCc8	-35.76362228	39.1594429	14.52837658
P2cCc9	-35.07725143	38.50115204	15.81431675
P2cCc10	-34.92903137	37.68249512	17.24616051
P2cCc11	-17.57972145	6.663108349	36.22803879
P2cCc12	-17.86833191	9.217020035	36.99072647
P2cCc13	-21.84554672	8.205267906	38.32651901
P2cCc14	-24.36046219	9.565901756	39.05242157
P2cCc15	-25.98132706	9.851037025	39.26200104
P2cCc16	-31.35826874	13.03168201	38.69255447
P2aIe1	18.02890968	-15.75607872	15.26651669
P2aIe2	19.6393795	-15.11414909	14.92425156
P2aIe3	15.896881099999998	-15.07753754	15.83561611
P2aIe4	14.79259682	-5.473860741	24.548069
P2aIe5	13.61891937	-4.632893085	26.18813515
P2aIe6	12.40376568	-3.316970825	28.71082115
P2aIe7	9.891809464	-0.758576751	32.34874725
P2aIe8	7.823647976	1.217728972	34.29564667
P2aIe9	7.258056164	3.477966785	36.54774475
P2aIe10	6.856482982999999	6.398163795	38.68113327
P2aIe11	7.494880676	13.68586254	40.90769577
P2aIe12	8.338440895	12.62877178	40.88481903
F3cIc1	34.04053497	-27.7759304	13.90817165
F3cIc2	34.8601799	-8.386005402	24.15465736
F3cIc3	32.92414093	-7.967227936	24.55015564
F3cIc4	33.24913025	-7.520732402999999	25.45117378
F3cIc5	30.00694466	-6.456477642	26.94747353
F3cIc6	35.09879303	-0.7833545209999999	30.97057915
F3cIc7	25.09214783	-1.835207939	32.9720192
F3cIc8	22.06977844	1.15947175	35.68774414
F3cIc9	21.29096031	1.6615043880000002	36.13333893
F3cIc10	21.97300148	5.341811657	37.27133942
F3bIb1	42.31881332	-29.56375313	12.77202606
F3bIb2	43.43927002	-33.4379425	12.52805424
F3bIb3	42.18928146	-10.59314728	22.2474823
F3bIb4	45.67241669	-32.99252701	12.17788506
F3bIb5	45.02692795	-6.027622223	26.94475555
F3bIb6	44.75561905	-4.766146183	27.49565125
F3bIb7	47.10062408	-4.854163647	27.11424828
F3bIb8	51.39200592	-6.530420303	26.13697433
F3bIb9	53.26996613	-7.091099262	25.81579399
F3bIb10	54.35969925	-7.588454247	25.59705544
F3aOFc1	56.76281357	-50.0080986	-26.98023796
F3aOFc2	57.84244537	-50.57598877	-26.22812653
F3aOFc3	58.76562119	-52.66373825	-18.35724831
F3aOFc4	59.46546555	-52.65726852	-18.68631363
F3aOFc5	62.86291885	-52.11869049	-13.24221706
F3aOFc6	63.70620728	-51.39661407	-9.934272766
F3aOFc7	62.91075897	-49.37565994	-3.606035948
F3aOFc8	63.50328827	-48.92499542	-2.835792065
F3aOFc9	59.28392029	-43.07047653	5.977635384
F3aOFc10	62.52373123	-38.50035477	8.751091002999999
F3aOFc11	65.73931122	-37.65682983	9.19521904
F3aOFc12	77.5378418	-38.93459702	7.596211433
F3aOFc13	76.32867432	-38.57077789	8.100764275
F3aOFc14	75.99740601	-31.16257095	14.08197689
F3aOFc15	77.68540192	-32.40638351	13.14465618
F3aOFc16	76.65135193	-26.90077019	16.89758682
P2bIg1	0.3436862229999999	-5.1430807110000005	22.49524879
P2bIg2	-0.7232959870000001	-3.472326279	24.14816284
P2bIg3	-0.38373372	-3.190829754	24.45415688
P2bIg4	-13.50350571	6.516727924	34.48837662
P2bIg5	-13.1412487	7.101862907	34.70386124
P2bIg6	-13.56976223	8.320663452	35.41701126
P2bIg7	-7.893423557	30.27672577	35.26727295
P2bIg8	-7.893423557	30.27672577	35.26727295
P2bIg9	-12.18670177	28.33878517	36.69453812
P2bIg10	-17.79675102	22.78438187	38.45665359
P2bIg11	-16.86061478	24.37519073	38.14311218
P2bIg12	-16.9793663	25.64306831	37.74031067
F2e1	41.87091827	20.85511971	22.73633957
F2e2	41.25944519	20.76131248	23.03908539
F2e3	40.04749298	20.56633568	23.65472794
F2e4	34.45938873	29.66572762	21.73959732
F2e5	32.58187866	28.78848839	22.94514275
F2e6	30.34645844	28.93133736	23.75174713
F2e7	28.76163673	29.73534775	23.89208794
F2e8	27.64653015	29.52983093	24.44069862
F2c1	52.5137291	16.32966232	20.31979561
F2c2	53.29405212	13.67545319	21.09450722
F2c3	55.8850441	19.40349579	17.84431076
F2c4	58.34025574	21.67656136	15.85238838
F2c5	58.30487823	23.12981415	15.15100574
F2c6	61.02474976	24.06355476	13.44650555
F2c7	60.96052933	25.41837692	12.68160343
F2c8	61.37322235	26.20200729	11.98641109
F2aOFb1	78.11661529999999	-48.26314926	-26.99138832
F2aOFb2	75.58043671	-49.41947174	-26.27342033
F2aOFb3	76.29517365	-50.39487076	-24.01878738
F2aOFb4	75.81352234	-50.95673370000001	-22.49882507
F2aOFb5	81.51276398	-49.92702866	-15.12113476
F2aOFb6	75.20593262	-48.50152206	-5.840092182
F2aOFb7	77.25243378	-47.68107605	-4.816590786
F2aOFb8	79.93355559999999	-45.58891296	-1.7907264230000002
F2aOFb9	85.17767334	-10.66332054	16.75250435
F2aOFb10	84.21014404	-7.081962109	16.49286079
F2aOFb11	82.91504669	-9.384188652	17.97462654
F2aOFb12	80.98397064	-3.464061499	17.40230179
F2aOFb13	74.80120087	-6.940783978	21.54050636
F2aOFb14	74.22293854	4.961962223	17.54333496
F2aOFb15	72.45722198	5.879144669	17.91989517
F2aOFb16	72.06826019	7.947939872999999	17.12134743
F2dCb1	47.0303154	15.69176388	-35.21664047
F2dCb2	45.67741013	12.73356056	-36.22529221
F2dCb3	53.63946533	23.76047707	-32.30938721
F2dCb4	53.72728348	25.10965538	-32.0801506
F2dCb5	54.99512482	29.22579384	-31.49099922
F2dCb6	42.3290062	51.38898849	-5.772194386000001
F2dCb7	43.06132126	51.28226852	-6.101360797999999
F2dCb8	46.30509949	48.43022156	-3.878811121
F2dCb9	47.10774612	46.90119553	-1.974746943
F2dCb10	47.05760574	45.06124496	1.181706786
F2dCb11	47.69898987	43.87397003	2.663416147
F2dCb12	48.58970642	37.44905853	10.37228298
F2dCb13	49.48263168	38.03450775	9.23930645
F2dCb14	52.33037567	37.50991821	7.981808662000001
F2bCa1	82.11547089	-40.35203934	-31.06118584
F2bCa2	85.10747528	-37.12427902	-31.21081734
F2bCa3	85.31062317	-33.32393646	-31.90201759
F2bCa4	86.90558624	-27.57966232	-32.04661179
F2bCa5	82.79266357	-20.11532211	-33.09048462
F2bCa6	86.01387024	-19.88009453	-32.35876083
F2bCa7	89.24788666	-15.57544613	-31.44589806
F2bCa8	90.10890961	-12.71759701	-31.09160614
F2bCa9	98.07161713	0.475036472	-2.632611513
F2bCa10	96.89797211	3.341097355	-3.0786449910000004
F2bCa11	95.82640076	5.457866669	-3.239931345
F2bCa12	90.04804993	9.170601845	1.597496629
F2bCa13	89.05786133	12.80637932	-0.444198191
F2bCa14	89.25770569	13.78621101	-1.676083446
F2bCa15	80.7586441	11.94917965	9.555119514
F2bCa16	79.36742401	12.35133457	10.4050951
F1*0Fa1	89.58388519	-46.87551498	-13.44402504
F1*0Fa2	91.59329987	-45.91933441	-13.67711353
F1*0Fa3	92.23155975	-45.50840378	-13.31349182
F1*0Fa4	104.4939499	-25.4358902	-5.512498856000001
F1*0Fa5	90.01959991	-22.37493324	-31.36923599
F1*0Fa6	90.59367371	-20.16514015	-31.21273804
F1*0Fa7	91.16402435	-18.7700119	-31.03697205
F1*0Fa8	92.90544128	-12.98807335	-30.35499191
F1*0Fa9	92.47987366	-11.22750759	-30.38747025
F1*0Fa10	99.21005249	6.95738554	-10.50370407
F1*0Fa11	99.56910706	7.236534119	-11.60030937
F1*0Fa12	98.03765869	10.51120472	-12.37894535
F1*0Fa13	97.87177277	11.66821575	-13.6252346
F1*0Fa14	97.15380859	13.68198109	-15.01450539
F1*0Fa15	95.20458221	16.99200058	-15.65382767
F1*0Fa16	96.28061676	15.9214468	-16.85076141
