Region                                   Electrodes
----------------------------------------------------
L G_temp_sup-Lateral                            122
L G_precentral                                  100
L G_front_middle                                 87
L G_temporal_middle                              71
L G_front_inf-Triangul                           69
L G_postcentral                                  60
L G_and_S_subcentral                             59
L G_pariet_inf-Supramar                          50
L G_front_inf-Opercular                          45
L S_circular_insula_inf                          34
L G_pariet_inf-Angular                           33
L G_oc-temp_med-Parahip                          31
L Pole_temporal                                  22
R G_oc-temp_med-Parahip                          20
L S_oc-temp_med_and_Lingual                      20
L G_Ins_lg_and_S_cent_ins                        19
R G_front_middle                                 18
L G_front_sup                                    18
L G_parietal_sup                                 17
L G_temporal_inf                                 17
L G_orbital                                      16
R G_temporal_middle                              15
L S_temporal_sup                                 15
R G_temp_sup-Lateral                             13
R G_precentral                                   13
L G_insular_short                                13
R Pole_temporal                                  12
R G_pariet_inf-Supramar                          11
L S_collat_transv_ant                            10
L G_temp_sup-G_T_transv                          10
L G_occipital_middle                             10
L G_temp_sup-Plan_polar                          10
R G_postcentral                                   9
R G_occipital_middle                              9
R G_orbital                                       8
R S_circular_insula_inf                           8
R S_calcarine                                     8
R G_pariet_inf-Angular                            8
L G_and_S_paracentral                             7
L S_front_sup                                     7
L G_front_inf-Orbital                             7
L G_oc-temp_lat-fusifor                           7
R G_front_inf-Opercular                           6
R G_temporal_inf                                  6
R S_oc-temp_med_and_Lingual                       6
L S_calcarine                                     6
R G_and_S_subcentral                              5
R S_temporal_sup                                  5
L Pole_occipital                                  5
L Lat_Fis-post                                    5
L G_and_S_cingul-Ant                              5
R G_front_inf-Triangul                            4
L G_and_S_cingul-Mid-Ant                          4
L S_orbital-H_Shaped                              4
L S_circular_insula_sup                           4
R G_Ins_lg_and_S_cent_ins                         4
L G_precuneus                                     4
L G_occipital_sup                                 3
L S_cingul-Marginalis                             3
R G_front_sup                                     3
R G_insular_short                                 3
L S_temporal_transverse                           3
L S_central                                       3
L S_postcentral                                   3
R G_front_inf-Orbital                             2
L S_intrapariet_and_P_trans                       2
L S_front_inf                                     2
L S_oc-temp_lat                                   2
R S_collat_transv_ant                             2
R G_temp_sup-G_T_transv                           2
L G_temp_sup-Plan_tempo                           2
L G_cingul-Post-ventral                           2
L S_pericallosal                                  2
L S_precentral-inf-part                           2
L G_and_S_occipital_inf                           2
R G_occipital_sup                                 1
L G_and_S_transv_frontopol                        1
L S_circular_insula_ant                           1
R Pole_occipital                                  1
R G_cingul-Post-ventral                           1
R S_circular_insula_sup                           1
R Lat_Fis-post                                    1
R G_parietal_sup                                  1
R G_oc-temp_lat-fusifor                           1
R G_and_S_occipital_inf                           1
R S_parieto_occipital                             1
R G_and_S_cingul-Mid-Ant                          1
L Lat_Fis-ant-Vertical                            1
L S_precentral-sup-part                           1
----------------------------------------------------
Total                                          1268
